timestamp,weakest_etf,prev_best_calmar,prev_best_cell,name,ticker,axis,labeler,thresh,sizing,real_calmar,real_da,trades,g2_pass,deployable,synth_cal,train_auc,val_auc,real_sharpe,real_skew,real_kurt,n_days,is_winner,kept_as_new_best,train_status,infer_status
2026-06-02T16:03:55,XLE,0.9052,XLE_logdollar_tertile_cdf_overlay_t0.30,A,XLE,logdollar,trend_scan,0.45,cdf_overlay,0.0157,24.3006,369,True,True,0.9162,0.5911,0.5032,,,,,True,False,completed,completed
2026-06-02T16:03:55,XLE,0.9052,XLE_logdollar_tertile_cdf_overlay_t0.30,B,XLE,logdollar,trend_scan,0.45,ls_overlay,-0.3829,133.931,564,True,True,0.7786,0.5911,0.5032,,,,,False,False,completed,completed
2026-06-02T16:11:54,DBC,0.858,DBC_logdollar_always_long_cdf_overlay_t0.45,A,DBC,zcusum,tertile,0.45,cdf_overlay,0.34,12.1799,957,True,True,0.0976,0.8535,0.5892,,,,,True,False,completed,completed
2026-06-02T16:11:54,DBC,0.858,DBC_logdollar_always_long_cdf_overlay_t0.45,B,DBC,zcusum,triple_barrier,0.45,cdf_overlay,0.1331,19.532,861,True,True,0.4606,0.6237,0.5382,,,,,False,False,completed,completed
2026-06-02T16:16:18,XLE,0.9052,XLE_logdollar_tertile_cdf_overlay_t0.30,A,XLE,zcusum,tertile,0.3,cdf_overlay,0.1827,28.0442,2824,True,True,0.1411,0.6084,0.5266,,,,,False,False,completed,completed
2026-06-02T16:16:18,XLE,0.9052,XLE_logdollar_tertile_cdf_overlay_t0.30,B,XLE,zcusum,triple_barrier,0.45,cdf_overlay,0.3645,8.0283,2395,True,True,0.1681,0.5677,0.5209,,,,,True,False,completed,completed
2026-06-02T16:30:38,TIP,0.0,,A,TIP,logdollar,always_long,0.45,cdf_overlay,1.1463,6.8033,772,True,True,-0.2498,0.5,0.5,,,,,True,True,completed,completed
2026-06-02T16:30:38,TIP,0.0,,B,TIP,logdollar,triple_barrier,0.3,cdf_overlay,0.8917,1.9886,796,True,True,-0.1933,0.6972,0.556,,,,,False,False,completed,completed
2026-06-02T16:56:49,IWM,1.1403,IWM_imbalance_triple_barrier+bgm_cdf_overlay_t0.45,A,IWM,imbalance,triple_barrier_meta+bgm,0.45,cdf_overlay,0.3126,3.2792,733,True,True,0.0,0.751,0.5807,,,,,True,False,completed,completed
2026-06-02T16:56:49,IWM,1.1403,IWM_imbalance_triple_barrier+bgm_cdf_overlay_t0.45,B,IWM,volumeimb,triple_barrier+bgm,0.45,cdf_overlay,0.0,0.0,0,False,False,0.0,0.0,0.0,,,,,False,False,completed,completed
2026-06-02T17:00:27,IWM,1.1403,IWM_imbalance_triple_barrier+bgm_cdf_overlay_t0.45,A,IWM,imbalance,crash_ahead,0.5,crashveto,0.5575,40.4438,1,False,False,0.0,0.8908,0.5123,,,,,True,False,completed,completed
2026-06-02T17:00:27,IWM,1.1403,IWM_imbalance_triple_barrier+bgm_cdf_overlay_t0.45,B,IWM,imbalance,crash_ahead,0.4,crashveto,0.5575,40.4438,1,False,False,0.0,0.8908,0.5123,,,,,False,False,completed,completed
