ticker,asset_class,recipe,method_calmar,buyhold_calmar,edge,val_auc,trades,verdict,name
VEU,International Equity,ker,0.756,1.417,-0.661,0.512,268,NO-FIT,Vanguard FTSE All-World ex-US Index Fund
SHM,Leveraged/Inverse,ker,0.326,1.035,-0.709,0.605,512,NO-FIT,State Street SPDR Nuveen ICE Short Term 
IEI,Fixed Income,trend,0.0,0.92,-0.92,0.0,0,NO-FIT,iShares 3-7 Year Treasury Bond ETF
IGIB,Fixed Income,trend,0.0,0.927,-0.927,0.0,0,NO-FIT,iShares 5-10 Year Investment Grade Corpo
IYZ,Fixed Income,sadf,1.04,2.065,-1.025,0.574,21,NO-FIT,iShares U.S. Telecommunications ETF
EMB,Fixed Income,trend,0.0,1.216,-1.216,0.0,0,NO-FIT,iShares J.P. Morgan USD Emerging Markets
GVI,Fixed Income,trend,0.0,1.261,-1.261,0.0,0,NO-FIT,iShares Intermediate Government/Credit B
SUB,Leveraged/Inverse,trend,0.0,1.465,-1.465,0.0,0,NO-FIT,iShares Short-Term National Muni Bond ET
EFV,International Equity,trend,0.203,1.69,-1.487,0.835,850,NO-FIT,iShares MSCI EAFE Value ETF
BSV,Fixed Income,sadf,0.45,2.66,-2.21,0.733,41,NO-FIT,Vanguard Short-Term Bond Index Fund ETF 
IGSB,Fixed Income,ker,0.115,3.133,-3.018,0.58,33,NO-FIT,iShares 1-5 Year Investment Grade Corpor
SHY,Fixed Income,trend,0.0,3.5,-3.5,0.0,0,NO-FIT,iShares 1-3 Year Treasury Bond ETF
